#,Player,Age,Market Value (Million Pounds),,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating 
94,Ricardo Pereira Right-Back ,28,30.00, ,8,597,2,0.8,35.5,76.4,0.3,0.6,-,6.99
32,Richarlison Centre-Forward ,24,55.00, ,10(1),889,2,1.2,14.4,65.2,0.2,0.2,0.1,6.72
52,Riyad Mahrez Right Winger ,30,42.00, ,6(8),662,3,1.6,27.5,90.1,0.9,0.9,0.4,7.03
56,Roberto Firmino Centre-Forward ,30,40.00, ,4(6),416,2,0.8,19.7,77.7,-,0.6,0.1,6.84
19,Rodri Defensive Midfield ,25,70.00, ,16,1384,1,1,82.5,92.4,0.1,4.9,0.1,7.38
5,Romelu Lukaku Centre-Forward ,28,100.00, ,7(4),693,-,1.1,12,72.7,-,0.1,0.1,6.91
14,Rúben Dias Centre-Back ,24,75.00, ,16(1),1413,1,0.5,74.8,93.3,0.1,3.8,0.1,6.98
50,Rúben Neves Defensive Midfield ,24,42.00, ,15(2),1345,1,0.8,55.5,83.4,0.4,5.9,0.2,6.7
9,Sadio Mané Left Winger ,29,85.00, ,17(1),1534,1,1.1,29.4,75.1,0.3,0.7,0.1,7.24
60,Saúl Ñíguez Central Midfield ,27,40.00, ,2(3),164,-,-,24.2,86,-,0.8,-,6.08
79,Scott McTominay Defensive Midfield ,25,35.00, ,12(2),1031,-,0.9,34.6,87,0.1,1.7,0.1,6.78
48,Tanguy Ndombélé Central Midfield ,24,45.00, ,6(2),475,1,0.5,31.9,86.7,-,0.5,0.3,6.52
58,Thomas Partey Defensive Midfield ,28,40.00, ,13(1),1163,-,0.5,47.8,85.2,-,2.9,-,6.8
33,Timo Werner Centre-Forward ,25,55.00, ,6(3),545,1,0.2,13.9,76,-,0.2,-,6.41
53,Tomas Soucek Defensive Midfield ,26,42.00, ,17,1519,1,0.5,40.1,82,0.1,1.8,-,6.96
13,Trent Alexander-Arnold Right-Back ,23,75.00, ,16,1414,8,3.2,68.6,80.2,2.8,6.3,0.4,7.75
98,Tyrone Mings Centre-Back ,28,30.00, ,15(1),1388,1,0.1,42.6,77.9,-,2.6,-,6.72
30,Virgil van Dijk Centre-Back ,30,55.00, ,16,1440,1,0.4,77.4,90.6,-,5.1,0.1,7.17
27,Wilfred Ndidi Defensive Midfield ,25,60.00, ,12,1080,-,0.1,51.9,80.3,-,0.9,-,6.9
42,Wilfried Zaha Left Winger ,29,45.00, ,15(1),1355,1,1.4,28,80.1,0.5,0.5,0.1,6.85
31,Youri Tielemans Central Midfield ,24,55.00, ,12,1067,2,1.8,57.7,84.1,0.8,2.9,0.3,7.28
