,Title,Year,Rated,Runtime,Genre,imdbRating,imdbVotes,BoxOffice
63,Hamilton,2020,PG-13,160 min,"Biography, Drama, History",8.4,"94,546",N/A
64,Capernaum,2018,R,126 min,Drama,8.4,"89,644","$1,661,096"
65,Joker,2019,R,122 min,"Crime, Drama, Thriller",8.4,"1,266,234","$335,477,657"
66,Your Name.,2016,TV-PG,106 min,"Animation, Drama, Fantasy",8.4,"266,795","$5,017,246"
67,Spider-Man: Into the Spider-Verse,2018,PG,117 min,"Animation, Action, Adventure",8.4,"521,336","$190,241,310"
68,Avengers: Endgame,2019,PG-13,181 min,"Action, Adventure, Drama",8.4,"1,120,634","$858,373,000"
69,Avengers: Infinity War,2018,PG-13,149 min,"Action, Adventure, Sci-Fi",8.4,"1,072,648","$678,815,482"
70,Coco,2017,PG,105 min,"Animation, Adventure, Comedy",8.4,"504,838","$210,460,015"
71,Django Unchained,2012,R,165 min,"Drama, Western",8.4,"1,544,625","$162,805,434"
72,Top Gun: Maverick,2022,PG-13,130 min,"Action, Drama",8.4,"435,970","$716,498,761"
73,The Dark Knight Rises,2012,PG-13,164 min,"Action, Drama",8.4,"1,696,282","$448,149,584"
74,Drishyam 2,2021,N/A,152 min,"Crime, Drama, Thriller",8.4,"37,135",N/A
75,3 Idiots,2009,PG-13,170 min,"Comedy, Drama",8.4,"400,218","$6,532,874"
76,K.G.F: Chapter 2,2022,Not Rated,168 min,"Action, Crime, Drama",8.4,"130,944","$2,874,000"
77,Shershaah,2021,TV-14,135 min,"Action, Biography, Drama",8.4,"121,070",N/A
78,Sardar Udham,2021,TV-MA,164 min,"Biography, Crime, Drama",8.4,"42,325",N/A
79,Like Stars on Earth,2007,PG,165 min,"Drama, Family",8.3,"193,806","$1,223,869"
80,WALL·E,2008,G,98 min,"Animation, Adventure, Family",8.4,"1,112,363","$223,808,164"
81,The Lives of Others,2006,R,137 min,"Drama, Mystery, Thriller",8.4,"389,133","$11,286,112"
82,Oldboy,2003,R,120 min,"Action, Drama, Mystery",8.4,"578,285","$707,481"
83,Memento,2000,R,113 min,"Mystery, Thriller",8.4,"1,234,280","$25,544,867"
84,American Beauty,1999,R,122 min,Drama,8.4,"1,152,826","$130,096,601"
85,Princess Mononoke,1997,PG-13,134 min,"Animation, Action, Adventure",8.4,"393,756","$4,845,631"
86,Braveheart,1995,R,178 min,"Biography, Drama, History",8.4,"1,035,853","$75,609,945"
87,Come and See,1985,Not Rated,142 min,"Drama, Thriller, War",8.4,"79,971","$71,909"
88,Aliens,1986,R,137 min,"Action, Adventure, Sci-Fi",8.4,"716,518","$85,160,248"
89,Amadeus,1984,PG,160 min,"Biography, Drama, Music",8.4,"401,417","$51,973,029"
90,Indiana Jones and the Raiders of the Lost Ark,1981,PG,115 min,"Action, Adventure",8.4,"963,139","$248,159,971"
